Disease,Diet
ወባ,['ወባ አመጋገብ'፣ 'ሃይድሬሽን'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'የአፍ ውስጥ የውሃ ፈሳሽ መፍትሄዎች']
የዶሮ ፐክስ,['የዶሮ ፐክስ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
ዴንጊ,['ዴንጊ አመጋገብ'፣ 'ሃይድሬሽን'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'በፕሮቲን የበለፀጉ ምግቦች']
ታይፎይድ,['ታይፎይድ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
ሄፓታይተስ ኤ,['ሄፓታይተስ ኤ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
ሄፓታይተስ ቢ,['ሄፓታይተስ ቢ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
ሄፓታይተስ ሲ,['ሄፕታይተስ ሲ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
ሄፓታይተስ ዲ,['ሄፕታይተስ ዲ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
ሄፓታይተስ ኢ,['ሄፕታይተስ ኢ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
የአልኮል ሄፓታይተስ,['ልብ-ጤናማ አመጋገብ'፣ 'ዝቅተኛ-ሶዲየም ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ጥቂት ፕሮቲኖች']
የሳንባ ነቀርሳ በሽታ,['የቲቢ አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
የጋራ ቅዝቃዜ,['ቀዝቃዛ አመጋገብ'፣ 'ሃይድሬሽን'፣ 'ሞቃታማ ፈሳሾች'፣ 'እረፍት'፣ 'ማር እና የሎሚ ሻይ']
የሳንባ ምች,['የሳንባ ምች አመጋገብ'፣ 'ከፍተኛ-ካሎሪ አመጋገብ'፣ 'ለስላሳ እና ለስላሳ ምግቦች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
ዲሞርፊክ ሄሞሮይድስ (ክምር),['የሄሞሮይድስ አመጋገብ'፣ 'ከፍተኛ-ፋይበር አመጋገብ'፣ 'ሃይድሬሽን'፣ 'ሞቅ ያለ መታጠቢያዎች'፣ 'የሰገራ ማለስለሻ']
የልብ ድካም,['ልብ-ጤናማ አመጋገብ'፣ 'ዝቅተኛ-ሶዲየም ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ጥቂት ፕሮቲኖች']
የ varicose ደም መላሽ ቧንቧዎች,['Varicose Veins Diet'፣ 'High-Fiber Diet'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ዝቅተኛ-ሶዲየም ምግቦች']
ሃይፖታይሮዲዝም,['ሃይፖታይሮዲዝም አመጋገብ'፣ 'በአዮዲን የበለጸጉ ምግቦች'፣ 'በሴሊኒየም የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች']
ሃይፐርታይሮዲዝም,['ሀይ ታይታይሮዲዝም አመጋገብ'፣ 'ዝቅተኛ-አዮዲን አመጋገብ'፣ 'ካልሲየም የበለጸጉ ምግቦች'፣ 'ሴሊኒየም የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች']
ሃይፖግላይሴሚያ,['ሃይፖግላይሴሚያ አመጋገብ'፣ 'ውስብስብ ካርቦሃይድሬትስ'፣ 'በፕሮቲን የበለጸጉ መክሰስ'፣ 'በፋይበር የበለጸጉ ምግቦች'፣ 'ጤናማ ቅባቶች']
የአርትሮሲስ በሽታ, ['አርትራይተስ አመጋገብ'፣ 'ፀረ-እብጠት አመጋገብ'፣ 'ኦሜጋ-3 የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች']
አርትራይተስ, ['አርትራይተስ አመጋገብ'፣ 'ፀረ-እብጠት አመጋገብ'፣ 'ኦሜጋ-3 የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች']
(vertigo) Paroymsal Positional Vertigo,['Vertigo Diet'፣ 'ዝቅተኛ-ጨው አመጋገብ'፣ 'ሃይድሬሽን'፣ 'ዝንጅብል ሻይ'፣ 'ቫይታሚን ዲ የበለፀጉ ምግቦች']
ብጉር,['ብጉር አመጋገብ'፣ 'ዝቅተኛ-ግሊሰሚክ አመጋገብ'፣ 'ሃይድሬሽን'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ፕሮቢዮቲክስ']
የሽንት ቧንቧ ኢንፌክሽን,"['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']"
Psoriasis,['Psoriasis Diet'፣ 'Anti-Inflammatory Diet'፣ 'Omega-3-የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች']
ኢምፔቲጎ,['ኢም ሞቲጎ አመጋገብ'፣ 'አንቲባዮቲክ ሕክምና'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሃይድሬሽን'፣ 'በፕሮቲን የበለጸጉ ምግቦች']
