,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
46,የመድሃኒት ምላሽ,እከክ,የሆድ_ህመም,ሚኪቱሪሽን ማቃጠል,ነጠብጣብ_ሽንት
47,የመድሃኒት ምላሽ,እከክ,የቆዳ_ሽፍታ,ሚኪቱሪሽን ማቃጠል,ነጠብጣብ_ሽንት
48,የመድሃኒት ምላሽ,እከክ,የቆዳ_ሽፍታ,የሆድ_ህመም,ነጠብጣብ_ሽንት
49,የመድሃኒት ምላሽ,እከክ,የቆዳ_ሽፍታ,የሆድ_ህመም,ሚኪቱሪሽን ማቃጠል
50,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ ፍላጎት_ማጣት,የሆድ_ህመም,የጋዞች_መተላለፊያ
51,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ አለመፈጨት ችግር,የሆድ_ህመም,የጋዞች_መተላለፊያ
52,የፔፕቲክ ቁስለት በሽታ,የምግብ አለመፈጨት ችግር,የምግብ ፍላጎት_ማጣት,የሆድ_ህመም,የጋዞች_መተላለፊያ
53,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ ፍላጎት_ማጣት,የሆድ_ህመም,የጋዞች_መተላለፊያ
54,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ አለመፈጨት ችግር,የሆድ_ህመም,የጋዞች_መተላለፊያ
55,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ አለመፈጨት ችግር,የምግብ ፍላጎት_ማጣት,የጋዞች_መተላለፊያ
56,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ አለመፈጨት ችግር,የምግብ ፍላጎት_ማጣት,የሆድ_ህመም
57,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ አለመፈጨት ችግር,የምግብ ፍላጎት_ማጣት,የሆድ_ህመም
58,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ አለመፈጨት ችግር,የምግብ ፍላጎት_ማጣት,የሆድ_ህመም
59,የፔፕቲክ ቁስለት በሽታ,ማስታወክ,የምግብ አለመፈጨት ችግር,የምግብ ፍላጎት_ማጣት,የሆድ_ህመም
60,AIDS,ጡንቻ_ማባከን,በጉሮሮ ውስጥ_ጥፍሮች,ከፍተኛ_ትኩሳት,ከጋብቻ ውጪ ያሉ እውቂያዎች
61,AIDS,በጉሮሮ ውስጥ_ጥፍሮች,ከፍተኛ_ትኩሳት,ከጋብቻ ውጪ ያሉ እውቂያዎች,
62,AIDS,ጡንቻ_ማባከን,ከፍተኛ_ትኩሳት,ከጋብቻ ውጪ ያሉ እውቂያዎች,
63,AIDS,ጡንቻ_ማባከን,በጉሮሮ ውስጥ_ጥፍሮች,ከጋብቻ ውጪ ያሉ እውቂያዎች,
64,AIDS,ጡንቻ_ማባከን,በጉሮሮ ውስጥ_ጥፍሮች,ከፍተኛ_ትኩሳት,
65,AIDS,ጡንቻ_ማባከን,በጉሮሮ ውስጥ_ጥፍሮች,ከፍተኛ_ትኩሳት,ከጋብቻ ውጪ ያሉ እውቂያዎች
66,AIDS,ጡንቻ_ማባከን,በጉሮሮ ውስጥ_ጥፍሮች,ከፍተኛ_ትኩሳት,ከጋብቻ ውጪ ያሉ እውቂያዎች
67,AIDS,በጉሮሮ ውስጥ_ጥፍሮች,ከፍተኛ_ትኩሳት,ከጋብቻ ውጪ ያሉ እውቂያዎች,
68,AIDS,ጡንቻ_ማባከን,ከፍተኛ_ትኩሳት,ከጋብቻ ውጪ ያሉ እውቂያዎች,
69,AIDS,ጡንቻ_ማባከን,በጉሮሮ ውስጥ_ጥፍሮች,ከፍተኛ_ትኩሳት,
70,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት
71,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት
72,የስኳር በሽታ,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት,መደበኛ ያልሆነ_የስኳር_ደረጃ
73,የስኳር በሽታ,ድካም,እረፍት ማጣት,ግድየለሽነት,መደበኛ ያልሆነ_የስኳር_ደረጃ
74,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,ግድየለሽነት,መደበኛ ያልሆነ_የስኳር_ደረጃ
75,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,እረፍት ማጣት,መደበኛ ያልሆነ_የስኳር_ደረጃ
76,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት
77,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት
78,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት
79,የስኳር በሽታ,ድካም,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት
80,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,የደነቆረ_አይኖች,ድርቀት,ተቅማጥ
81,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,የደነቆረ_አይኖች,ድርቀት,ተቅማጥ
82,የጨጓራ እጢ (gastroenteritis).,የደነቆረ_አይኖች,ድርቀት,ተቅማጥ,
83,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,ድርቀት,ተቅማጥ,
84,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,የደነቆረ_አይኖች,ተቅማጥ,
85,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,የደነቆረ_አይኖች,ድርቀት,
86,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,የደነቆረ_አይኖች,ድርቀት,ተቅማጥ
87,የጨጓራ እጢ (gastroenteritis).,የደነቆረ_አይኖች,ድርቀት,ተቅማጥ,
88,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,ድርቀት,ተቅማጥ,
89,የጨጓራ እጢ (gastroenteritis).,ማስታወክ,የደነቆረ_አይኖች,ተቅማጥ,
90,ብሮንካይያል አስም,ድካም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
91,ብሮንካይያል አስም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት,የቤተሰብ_ታሪክ
92,ብሮንካይያል አስም,ድካም,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት,የቤተሰብ_ታሪክ
93,ብሮንካይያል አስም,ድካም,ሳል,ትንፋሽ ማጣት,የቤተሰብ_ታሪክ
94,ብሮንካይያል አስም,ድካም,ሳል,ከፍተኛ_ትኩሳት,የቤተሰብ_ታሪክ
95,ብሮንካይያል አስም,ድካም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
96,ብሮንካይያል አስም,ድካም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
97,ብሮንካይያል አስም,ድካም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
98,ብሮንካይያል አስም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት,የቤተሰብ_ታሪክ
99,ብሮንካይያል አስም,ድካም,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት,የቤተሰብ_ታሪክ
100,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት
101,የደም ግፊት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
102,የደም ግፊት,ራስ ምታት,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
103,የደም ግፊት,ራስ ምታት,የደረት_ህመም,ሚዛን_ማጣት,የማተኮር_ማጣት
104,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,የማተኮር_ማጣት
105,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት
106,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት
107,የደም ግፊት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
108,የደም ግፊት,ራስ ምታት,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
109,የደም ግፊት,ራስ ምታት,የደረት_ህመም,ሚዛን_ማጣት,የማተኮር_ማጣት
110,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
111,ማይግሬን,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ,ከመጠን በላይ_ረሃብ
112,ማይግሬን,አሲድነት,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ,ከመጠን በላይ_ረሃብ
113,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,የደበዘዘ_እና_የተዛባ_ዕይታ,ከመጠን በላይ_ረሃብ
114,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,ከመጠን በላይ_ረሃብ
115,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
116,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
117,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
118,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
119,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
120,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
121,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
122,የማኅጸን ጫፍ ስፖንዶሎሲስ,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
123,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
124,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,መፍዘዝ,ሚዛን_ማጣት
125,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,ሚዛን_ማጣት
126,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
127,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
128,የማኅጸን ጫፍ ስፖንዶሎሲስ,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
129,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
130,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium
131,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium
132,ሽባ (የአንጎል ደም መፍሰስ),ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
133,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
134,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,ተቀይሯል_sensorium,
135,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,
136,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium
137,ሽባ (የአንጎል ደም መፍሰስ),ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
138,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
139,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,ተቀይሯል_sensorium,
140,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
141,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
142,አገርጥቶትና,ማስታወክ,ድካም,ክብደት_መቀነስ,ከፍተኛ_ትኩሳት
143,አገርጥቶትና,እከክ,ድካም,ክብደት_መቀነስ,ከፍተኛ_ትኩሳት
144,አገርጥቶትና,እከክ,ማስታወክ,ክብደት_መቀነስ,ከፍተኛ_ትኩሳት
145,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
146,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
147,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
148,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
149,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
150,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
151,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
152,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
153,ወባ,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ,ራስ ምታት
154,ወባ,ብርድ ብርድ ማለት,ከፍተኛ_ትኩሳት,ማላብ,ራስ ምታት
155,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ማላብ,ራስ ምታት
156,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ራስ ምታት
157,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
158,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
159,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
160,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
161,የዶሮ ፐክስ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት,ከፍተኛ_ትኩሳት
162,የዶሮ ፐክስ,እከክ,ድካም,ግድየለሽነት,ከፍተኛ_ትኩሳት
163,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ግድየለሽነት,ከፍተኛ_ትኩሳት
164,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ከፍተኛ_ትኩሳት
165,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
166,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
167,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
168,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
169,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
170,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
171,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
172,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
173,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
174,ዴንጊ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም
175,ዴንጊ,የቆዳ_ሽፍታ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም
176,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም
177,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ድካም
178,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
179,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
180,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
181,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
182,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
183,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
184,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
185,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
186,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
187,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
188,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
189,ታይፎይድ,ብርድ ብርድ ማለት,ድካም,ከፍተኛ_ትኩሳት,ራስ ምታት
190,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
191,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
192,ሄፓታይተስ ኤ,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት,ማቅለሽለሽ
193,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ቢጫ_ቆዳ,ጨለማ_ሽንት,ማቅለሽለሽ
194,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ጨለማ_ሽንት,ማቅለሽለሽ
195,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
196,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
197,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
198,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
199,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
200,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
201,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
202,ሄፓታይተስ ቢ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ,ጨለማ_ሽንት
203,ሄፓታይተስ ቢ,እከክ,ግድየለሽነት,ቢጫ_ቆዳ,ጨለማ_ሽንት
204,ሄፓታይተስ ቢ,እከክ,ድካም,ቢጫ_ቆዳ,ጨለማ_ሽንት
205,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ጨለማ_ሽንት
206,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
207,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
208,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
209,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
210,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
211,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
212,ሄፓታይተስ ሲ,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት,የዓይን_ቢጫ_መቅላት
213,ሄፓታይተስ ሲ,ድካም,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት,የዓይን_ቢጫ_መቅላት
214,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,የምግብ ፍላጎት_ማጣት,የዓይን_ቢጫ_መቅላት
215,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የዓይን_ቢጫ_መቅላት
216,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
217,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
218,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
219,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
220,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
221,ሄፓታይተስ ዲ,ማስታወክ,ድካም,ቢጫ_ቆዳ,ጨለማ_ሽንት
222,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ድካም,ቢጫ_ቆዳ,ጨለማ_ሽንት
223,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
