,Unnamed: 0,disease,workout
92,92,ብሮንካይያል አስም,የሶዲየም መጠንን ይገድቡ
93,93,ብሮንካይያል አስም,እርጥበት ይኑርዎት
94,94,ብሮንካይያል አስም,በAntioxidant የበለጸጉ ምግቦችን ያካትቱ
95,95,ብሮንካይያል አስም,ሰልፋይት የያዙ ምግቦችን ያስወግዱ
96,96,ብሮንካይያል አስም,የተዘጋጁ ምግቦችን ይገድቡ
97,97,ብሮንካይያል አስም,ማግኒዥየም የበለጸጉ ምግቦችን ይጠቀሙ
98,98,ብሮንካይያል አስም,የጤና እንክብካቤ ባለሙያ ያማክሩ
99,99,ብሮንካይያል አስም,ቀስቃሽ ምግቦችን ያስወግዱ
100,100,የደም ግፊት,የ DASH አመጋገብን ይከተሉ (የደም ግፊትን ለማቆም የአመጋገብ ዘዴዎች)
101,101,የደም ግፊት,የሶዲየም መጠንን ይገድቡ
102,102,የደም ግፊት,በፖታስየም የበለጸጉ ምግቦችን ያካትቱ
103,103,የደም ግፊት,እርጥበት ይኑርዎት
104,104,የደም ግፊት,በካልሲየም የበለጸጉ ምግቦችን ይጠቀሙ
105,105,የደም ግፊት,አልኮል መጠጣትን ይገድቡ
106,106,የደም ግፊት,ማግኒዥየም የበለጸጉ ምግቦችን ያካትቱ
107,107,የደም ግፊት,ኦሜጋ -3 ቅባት አሲዶችን ይጠቀሙ
108,108,የደም ግፊት,የተዘጋጁ ምግቦችን ይገድቡ
109,109,የደም ግፊት,የጤና እንክብካቤ ባለሙያ ያማክሩ
110,110,ማይግሬን,ቀስቃሽ ምግቦችን መለየት እና ማስወገድ
111,111,ማይግሬን,እርጥበት ይኑርዎት
112,112,ማይግሬን,ማግኒዥየም የበለጸጉ ምግቦችን ያካትቱ
113,113,ማይግሬን,ኦሜጋ -3 ቅባት አሲዶችን ይጠቀሙ
114,114,ማይግሬን,ካፌይን እና አልኮል ይገድቡ
115,115,ማይግሬን,በሪቦፍላቪን የበለጸጉ ምግቦችን ይጠቀሙ
116,116,ማይግሬን,የተዘጋጁ ምግቦችን ይገድቡ
117,117,ማይግሬን,መደበኛ የምግብ ጊዜን ይጠብቁ
118,118,ማይግሬን,የጤና እንክብካቤ ባለሙያ ያማክሩ
119,119,ማይግሬን,ጭንቀትን ይቆጣጠሩ
120,120,የማኅጸን ጫፍ ስፖንዶሎሲስ,ፀረ-ብግነት ምግቦችን ያካትቱ
121,121,የማኅጸን ጫፍ ስፖንዶሎሲስ,ኦሜጋ -3 ቅባት አሲዶችን ይጠቀሙ
122,122,የማኅጸን ጫፍ ስፖንዶሎሲስ,በቫይታሚን ዲ የበለጸጉ ምግቦችን ያካትቱ
123,123,የማኅጸን ጫፍ ስፖንዶሎሲስ,እርጥበት ይኑርዎት
124,124,የማኅጸን ጫፍ ስፖንዶሎሲስ,በAntioxidant የበለጸጉ ምግቦችን ይጠቀሙ
125,125,የማኅጸን ጫፍ ስፖንዶሎሲስ,የተዘጋጁ ምግቦችን ይገድቡ
126,126,የማኅጸን ጫፍ ስፖንዶሎሲስ,ደካማ ፕሮቲኖችን ያካትቱ
127,127,የማኅጸን ጫፍ ስፖንዶሎሲስ,ጥሩ አቀማመጥ ይለማመዱ
128,128,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጤና እንክብካቤ ባለሙያ ያማክሩ
129,129,የማኅጸን ጫፍ ስፖንዶሎሲስ,መደበኛ የአካል ብቃት እንቅስቃሴ ማድረግ
130,130,ሽባ (የአንጎል ደም መፍሰስ),የተመጣጠነ እና የተመጣጠነ ምግብን ይከተሉ
131,131,ሽባ (የአንጎል ደም መፍሰስ),ደካማ ፕሮቲኖችን ያካትቱ
132,132,ሽባ (የአንጎል ደም መፍሰስ),በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
133,133,ሽባ (የአንጎል ደም መፍሰስ),እርጥበት ይኑርዎት
134,134,ሽባ (የአንጎል ደም መፍሰስ),ጤናማ ቅባቶችን ያካትቱ
135,135,ሽባ (የአንጎል ደም መፍሰስ),ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
136,136,ሽባ (የአንጎል ደም መፍሰስ),ፀረ-ንጥረ-ምግቦችን ያካትቱ
137,137,ሽባ (የአንጎል ደም መፍሰስ),በቫይታሚን ኬ የበለጸጉ ምግቦችን ይጠቀሙ
138,138,ሽባ (የአንጎል ደም መፍሰስ),የጤና እንክብካቤ ባለሙያ ያማክሩ
139,139,ሽባ (የአንጎል ደም መፍሰስ),ጭንቀትን ይቆጣጠሩ
140,140,አገርጥቶትና,እርጥበት ይኑርዎት
141,141,አገርጥቶትና,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
142,142,አገርጥቶትና,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
143,143,አገርጥቶትና,በቀላሉ ሊፈጩ የሚችሉ ምግቦችን ይጠቀሙ
144,144,አገርጥቶትና,የሰባ ምግቦችን ይገድቡ
145,145,አገርጥቶትና,አልኮል እና ካፌይን ያስወግዱ
146,146,አገርጥቶትና,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
147,147,አገርጥቶትና,የጤና እንክብካቤ ባለሙያ ያማክሩ
148,148,አገርጥቶትና,ያርፉ እና ጉልበት ይቆጥቡ
149,149,አገርጥቶትና,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
150,150,ወባ,እርጥበት ይኑርዎት
151,151,ወባ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
152,152,ወባ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
153,153,ወባ,በአንቲኦክሲደንትስ የበለፀጉ ምግቦችን ይመገቡ
154,154,ወባ,ቅባት እና ቅባት ያላቸውን ምግቦች ይገድቡ
155,155,ወባ,አልኮል እና ካፌይን ያስወግዱ
156,156,ወባ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
157,157,ወባ,የጤና እንክብካቤ ባለሙያ ያማክሩ
158,158,ወባ,ያርፉ እና ጉልበት ይቆጥቡ
159,159,ወባ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
160,160,የዶሮ ፐክስ,እርጥበት ይኑርዎት
161,161,የዶሮ ፐክስ,በቀላሉ ሊፈጩ የሚችሉ ምግቦችን ያካትቱ
162,162,የዶሮ ፐክስ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
163,163,የዶሮ ፐክስ,በፕሮቲን የበለጸጉ ምግቦችን ይጠቀሙ
164,164,የዶሮ ፐክስ,በዚንክ የበለጸጉ ምግቦችን ያካትቱ
165,165,የዶሮ ፐክስ,ቅመም እና አሲዳማ ምግቦችን ያስወግዱ
166,166,የዶሮ ፐክስ,የጤና እንክብካቤ ባለሙያ ያማክሩ
167,167,የዶሮ ፐክስ,ጥሩ ንጽሕናን ተለማመዱ
168,168,የዶሮ ፐክስ,ያርፉ እና ጉልበት ይቆጥቡ
169,169,የዶሮ ፐክስ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
170,170,ዴንጊ,እርጥበት ይኑርዎት
171,171,ዴንጊ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
172,172,ዴንጊ,በቫይታሚን ሲ እና በፀረ ኦክሲደንትስ የበለፀጉ ምግቦችን ይመገቡ
173,173,ዴንጊ,ቅባት እና ቅባት ያላቸውን ምግቦች ይገድቡ
174,174,ዴንጊ,ካፌይን እና አልኮልን ያስወግዱ
175,175,ዴንጊ,ለስላሳ እና በቀላሉ ሊዋሃዱ የሚችሉ ምግቦችን ያካትቱ
176,176,ዴንጊ,የጤና እንክብካቤ ባለሙያ ያማክሩ
177,177,ዴንጊ,ያርፉ እና ጉልበት ይቆጥቡ
178,178,ዴንጊ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
179,179,ዴንጊ,የሕክምና ምክሮችን ይከተሉ
180,180,ታይፎይድ,በቀላሉ ሊፈጩ የሚችሉ ምግቦችን ይጠቀሙ
181,181,ታይፎይድ,እርጥበት ይኑርዎት
182,182,ታይፎይድ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
183,183,ታይፎይድ,በቫይታሚን ሲ እና በፀረ ኦክሲደንትስ የበለፀጉ ምግቦችን ይመገቡ
184,184,ታይፎይድ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
185,185,ታይፎይድ,ቅባት እና ቅባት የበዛባቸው ምግቦችን ያስወግዱ
186,186,ታይፎይድ,የጤና እንክብካቤ ባለሙያ ያማክሩ
187,187,ታይፎይድ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
188,188,ታይፎይድ,የሕክምና ምክሮችን ይከተሉ
189,189,ታይፎይድ,አልኮል እና ካፌይን ያስወግዱ
190,190,ሄፓታይተስ ኤ,እርጥበት ይኑርዎት
191,191,ሄፓታይተስ ኤ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
192,192,ሄፓታይተስ ኤ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
193,193,ሄፓታይተስ ኤ,በቀላሉ ሊፈጩ የሚችሉ ምግቦችን ይጠቀሙ
194,194,ሄፓታይተስ ኤ,የሰባ ምግቦችን ይገድቡ
195,195,ሄፓታይተስ ኤ,አልኮል እና ካፌይን ያስወግዱ
196,196,ሄፓታይተስ ኤ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
197,197,ሄፓታይተስ ኤ,የጤና እንክብካቤ ባለሙያ ያማክሩ
198,198,ሄፓታይተስ ኤ,ያርፉ እና ጉልበት ይቆጥቡ
199,199,ሄፓታይተስ ኤ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
200,200,ሄፓታይተስ ቢ,የተመጣጠነ እና የተመጣጠነ ምግብን ይከተሉ
201,201,ሄፓታይተስ ቢ,እርጥበት ይኑርዎት
202,202,ሄፓታይተስ ቢ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
203,203,ሄፓታይተስ ቢ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
204,204,ሄፓታይተስ ቢ,የሰባ ምግቦችን ይገድቡ
205,205,ሄፓታይተስ ቢ,አልኮል እና ካፌይን ያስወግዱ
206,206,ሄፓታይተስ ቢ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
207,207,ሄፓታይተስ ቢ,የጤና እንክብካቤ ባለሙያ ያማክሩ
208,208,ሄፓታይተስ ቢ,ያርፉ እና ጉልበት ይቆጥቡ
209,209,ሄፓታይተስ ቢ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
210,210,ሄፓታይተስ ሲ,የተመጣጠነ እና የተመጣጠነ ምግብን ይከተሉ
211,211,ሄፓታይተስ ሲ,እርጥበት ይኑርዎት
212,212,ሄፓታይተስ ሲ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
213,213,ሄፓታይተስ ሲ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
214,214,ሄፓታይተስ ሲ,የሰባ ምግቦችን ይገድቡ
215,215,ሄፓታይተስ ሲ,አልኮል እና ካፌይን ያስወግዱ
216,216,ሄፓታይተስ ሲ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
217,217,ሄፓታይተስ ሲ,የጤና እንክብካቤ ባለሙያ ያማክሩ
218,218,ሄፓታይተስ ሲ,ያርፉ እና ጉልበት ይቆጥቡ
219,219,ሄፓታይተስ ሲ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
220,220,ሄፓታይተስ ዲ,የተመጣጠነ እና የተመጣጠነ ምግብን ይከተሉ
221,221,ሄፓታይተስ ዲ,እርጥበት ይኑርዎት
222,222,ሄፓታይተስ ዲ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
223,223,ሄፓታይተስ ዲ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
224,224,ሄፓታይተስ ዲ,የሰባ ምግቦችን ይገድቡ
225,225,ሄፓታይተስ ዲ,አልኮል እና ካፌይን ያስወግዱ
226,226,ሄፓታይተስ ዲ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
227,227,ሄፓታይተስ ዲ,የጤና እንክብካቤ ባለሙያ ያማክሩ
228,228,ሄፓታይተስ ዲ,ያርፉ እና ጉልበት ይቆጥቡ
229,229,ሄፓታይተስ ዲ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
230,230,ሄፓታይተስ ኢ,እርጥበት ይኑርዎት
231,231,ሄፓታይተስ ኢ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
232,232,ሄፓታይተስ ኢ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
233,233,ሄፓታይተስ ኢ,በቀላሉ ሊፈጩ የሚችሉ ምግቦችን ይጠቀሙ
234,234,ሄፓታይተስ ኢ,የሰባ ምግቦችን ይገድቡ
235,235,ሄፓታይተስ ኢ,አልኮል እና ካፌይን ያስወግዱ
236,236,ሄፓታይተስ ኢ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
237,237,ሄፓታይተስ ኢ,የጤና እንክብካቤ ባለሙያ ያማክሩ
238,238,ሄፓታይተስ ኢ,ያርፉ እና ጉልበት ይቆጥቡ
239,239,ሄፓታይተስ ኢ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
240,240,የአልኮል ሄፓታይተስ,አልኮል ከመጠጣት ይቆጠቡ
241,241,የአልኮል ሄፓታይተስ,የተመጣጠነ እና የተመጣጠነ ምግብን ይከተሉ
242,242,የአልኮል ሄፓታይተስ,እርጥበት ይኑርዎት
243,243,የአልኮል ሄፓታይተስ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
244,244,የአልኮል ሄፓታይተስ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
245,245,የአልኮል ሄፓታይተስ,የሰባ ምግቦችን ይገድቡ
246,246,የአልኮል ሄፓታይተስ,ፀረ-ንጥረ-ምግቦችን ያካትቱ
247,247,የአልኮል ሄፓታይተስ,የጤና እንክብካቤ ባለሙያ ያማክሩ
248,248,የአልኮል ሄፓታይተስ,ያርፉ እና ጉልበት ይቆጥቡ
249,249,የአልኮል ሄፓታይተስ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
250,250,የሳንባ ነቀርሳ በሽታ,ከፍተኛ የፕሮቲን ምግቦችን ይመገቡ
251,251,የሳንባ ነቀርሳ በሽታ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
252,252,የሳንባ ነቀርሳ በሽታ,እርጥበት ይኑርዎት
253,253,የሳንባ ነቀርሳ በሽታ,በቫይታሚን ኤ እና ሲ የበለፀጉ ምግቦችን ይጠቀሙ
254,254,የሳንባ ነቀርሳ በሽታ,በዚንክ የበለጸጉ ምግቦችን ያካትቱ
255,255,የሳንባ ነቀርሳ በሽታ,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
256,256,የሳንባ ነቀርሳ በሽታ,የጤና እንክብካቤ ባለሙያ ያማክሩ
257,257,የሳንባ ነቀርሳ በሽታ,ያርፉ እና ጉልበት ይቆጥቡ
258,258,የሳንባ ነቀርሳ በሽታ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
259,259,የሳንባ ነቀርሳ በሽታ,የሕክምና ምክሮችን ይከተሉ
260,260,የጋራ ቅዝቃዜ,እርጥበት ይኑርዎት
261,261,የጋራ ቅዝቃዜ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
262,262,የጋራ ቅዝቃዜ,በቫይታሚን ሲ እና በፀረ ኦክሲደንትስ የበለፀጉ ምግቦችን ይመገቡ
263,263,የጋራ ቅዝቃዜ,በዚንክ የበለጸጉ ምግቦችን ያካትቱ
264,264,የጋራ ቅዝቃዜ,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
265,265,የጋራ ቅዝቃዜ,የዶሮ ሾርባ ይበሉ
266,266,የጋራ ቅዝቃዜ,የጤና እንክብካቤ ባለሙያ ያማክሩ
267,267,የጋራ ቅዝቃዜ,ያርፉ እና ጉልበት ይቆጥቡ
268,268,የጋራ ቅዝቃዜ,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
269,269,የጋራ ቅዝቃዜ,የሕክምና ምክሮችን ይከተሉ
270,270,የሳንባ ምች,እርጥበት ይኑርዎት
271,271,የሳንባ ምች,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
272,272,የሳንባ ምች,በቫይታሚን ሲ እና በፀረ ኦክሲደንትስ የበለፀጉ ምግቦችን ይመገቡ
273,273,የሳንባ ምች,በዚንክ የበለጸጉ ምግቦችን ያካትቱ
274,274,የሳንባ ምች,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
275,275,የሳንባ ምች,የዶሮ ሾርባ ይበሉ
276,276,የሳንባ ምች,የጤና እንክብካቤ ባለሙያ ያማክሩ
277,277,የሳንባ ምች,ያርፉ እና ጉልበት ይቆጥቡ
278,278,የሳንባ ምች,ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
279,279,የሳንባ ምች,የሕክምና ምክሮችን ይከተሉ
280,280,ዲሞርፊክ ሄሞሮይድስ (ክምር),ከፍተኛ ፋይበር ያላቸውን ምግቦች ይጠቀሙ
281,281,ዲሞርፊክ ሄሞሮይድስ (ክምር),እርጥበት ይኑርዎት
282,282,ዲሞርፊክ ሄሞሮይድስ (ክምር),በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
283,283,ዲሞርፊክ ሄሞሮይድስ (ክምር),በ flavonoids የበለጸጉ ምግቦችን ይጠቀሙ
284,284,ዲሞርፊክ ሄሞሮይድስ (ክምር),የተዘጋጁ ምግቦችን ይገድቡ
285,285,ዲሞርፊክ ሄሞሮይድስ (ክምር),ቅመም እና ቅባት የበዛባቸው ምግቦችን ያስወግዱ
286,286,ዲሞርፊክ ሄሞሮይድስ (ክምር),የጤና እንክብካቤ ባለሙያ ያማክሩ
287,287,ዲሞርፊክ ሄሞሮይድስ (ክምር),ጥሩ ንጽሕናን ተለማመዱ
288,288,ዲሞርፊክ ሄሞሮይድስ (ክምር),ቀስ በቀስ መደበኛውን አመጋገብ ይቀጥሉ
289,289,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሕክምና ምክሮችን ይከተሉ
290,290,የልብ ድካም,የልብ-ጤናማ አመጋገብን ይከተሉ
291,291,የልብ ድካም,የሶዲየም መጠንን ይገድቡ
292,292,የልብ ድካም,በፋይበር የበለጸጉ ምግቦችን ያካትቱ
293,293,የልብ ድካም,ጤናማ ቅባቶችን ይጠቀሙ
294,294,የልብ ድካም,ደካማ ፕሮቲኖችን ያካትቱ
295,295,የልብ ድካም,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
296,296,የልብ ድካም,እርጥበት ይኑርዎት
297,297,የልብ ድካም,የጤና እንክብካቤ ባለሙያ ያማክሩ
298,298,የልብ ድካም,የሕክምና ምክሮችን ይከተሉ
299,299,የልብ ድካም,መደበኛ የአካል ብቃት እንቅስቃሴ ማድረግ
300,300,የ varicose ደም መላሽ ቧንቧዎች,ከፍተኛ-ፋይበር አመጋገብን ይጠቀሙ
301,301,የ varicose ደም መላሽ ቧንቧዎች,እርጥበት ይኑርዎት
302,302,የ varicose ደም መላሽ ቧንቧዎች,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
303,303,የ varicose ደም መላሽ ቧንቧዎች,በአንቲኦክሲደንትስ የበለፀጉ ምግቦችን ይመገቡ
304,304,የ varicose ደም መላሽ ቧንቧዎች,የሶዲየም መጠንን ይገድቡ
